
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow linear functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run MEC followed by ECMTC.
#  - We use no lower or upper task assignment limits for resources.
#  - We use relaxation percentages of 0.25 (25%); 0.50 (50%); 0.75 (75%); 1.0 (100%);
#    1.25 (125%); 1.50 (150%); 1.75 (175%); and 2.0 (200%) for the minimal makespan found
#    to evaluate the potential energy consumption reductions.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Time_Limit,Makespan_Relaxation_Percentage,Makespan,Energy_Consumption
MEC,1000,10,inf,0,370.444388923912,1180.1213670995
ECMTC,1000,10,463.05548615489,0.25,462.732998447998,877.750838600264
ECMTC,1000,10,555.666583385868,0.5,555.229309172078,752.846050501567
ECMTC,1000,10,648.277680616846,0.75,647.370890897013,683.385583208339
ECMTC,1000,10,740.888777847824,1,740.344581420986,631.349766608575
ECMTC,1000,10,833.499875078802,1.25,833.318271944958,586.091564371591
ECMTC,1000,10,926.11097230978,1.5,924.982473870001,551.048902280241
ECMTC,1000,10,1018.72206954076,1.75,1017.95616439397,522.456946229015
ECMTC,1000,10,1111.33316677174,2,1110.92985491795,493.864990177789
MEC,1100,10,inf,0,407.734477292972,1296.5189464262
ECMTC,1100,10,509.668096616215,0.25,509.409030977083,963.663203882478
ECMTC,1100,10,611.601715939458,0.5,610.922219884724,825.765638913451
ECMTC,1100,10,713.535335262701,0.75,712.845320843473,749.895199689161
ECMTC,1100,10,815.468954585944,1,814.98543155995,692.750287189648
ECMTC,1100,10,917.402573909187,1.25,917.125542276426,642.959807296557
ECMTC,1100,10,1019.33619323243,1.5,1019.2656529929,604.228238423923
ECMTC,1100,10,1121.26981255567,1.75,1120.09627511045,573.220060734565
ECMTC,1100,10,1223.20343187892,2,1222.23638582693,541.809179438852
MEC,1200,10,inf,0,444.056202706639,1413.26343595415
ECMTC,1200,10,555.070253383299,0.25,554.427597771356,1050.63637679582
ECMTC,1200,10,666.084304059959,0.5,665.703731282022,900.005447260343
ECMTC,1200,10,777.098354736619,0.75,777.010262191003,817.107483647395
ECMTC,1200,10,888.112405413279,1,887.007304501055,755.423492913874
ECMTC,1200,10,999.126456089939,1.25,998.680762571935,701.100735364676
ECMTC,1200,10,1110.1405067666,1.5,1109.62036631902,658.615685386671
ECMTC,1200,10,1221.15455744326,1.75,1220.926897228,624.385878846471
ECMTC,1200,10,1332.16860811992,2,1330.92393953805,590.558775912626
MEC,1300,10,inf,0,480.515086066516,1530.9772869743
ECMTC,1300,10,600.643857583145,0.25,600.229301335563,1138.22011894208
ECMTC,1300,10,720.772629099774,0.5,720.702252437048,974.404049900505
ECMTC,1300,10,840.901400616403,0.75,839.865714939604,885.022435083041
ECMTC,1300,10,961.030172133032,1,960.338666041089,817.38247641145
ECMTC,1300,10,1081.15894364966,1.25,1080.8547583732,758.683200516292
ECMTC,1300,10,1201.28771516629,1.5,1201.28456824406,712.600428743064
ECMTC,1300,10,1321.41648668292,1.75,1320.44803074662,675.954400564732
ECMTC,1300,10,1441.54525819955,2,1440.9209818481,638.905668780045
MEC,1400,10,inf,0,516.804185959908,1647.88957706058
ECMTC,1400,10,646.005232449885,0.25,646.00427711714,1225.75175477193
ECMTC,1400,10,775.206278939862,0.5,775.166644508056,1049.50532001808
ECMTC,1400,10,904.407325429839,0.75,904.030656287134,952.234719041276
ECMTC,1400,10,1033.60837191982,1,1032.3605389822,880.055682135675
ECMTC,1400,10,1162.80941840979,1.25,1161.99991027618,816.979887894558
ECMTC,1400,10,1292.01046489977,1.5,1291.63928157017,766.987875705812
ECMTC,1400,10,1421.21151138975,1.75,1419.96916426523,727.522922282993
ECMTC,1400,10,1550.41255787972,2,1549.60853555922,687.655265253819
MEC,1500,10,inf,0,553.968474573987,1763.7765530594
ECMTC,1500,10,692.460593217483,0.25,691.893503260606,1311.10565713764
ECMTC,1500,10,830.95271186098,0.5,830.6992947471,1122.42490842996
ECMTC,1500,10,969.444830504477,0.75,968.195597634665,1019.44700299951
ECMTC,1500,10,1107.93694914797,1,1107.00138912116,941.456202716749
ECMTC,1500,10,1246.42906779147,1.25,1245.80718060765,873.848130819525
ECMTC,1500,10,1384.92118643497,1.5,1384.61297209415,820.569915455849
ECMTC,1500,10,1523.41330507846,1.75,1522.10927498171,778.286036788543
ECMTC,1500,10,1661.90542372196,2,1660.91506646821,735.599454514883
MEC,1600,10,inf,0,589.982484264786,1881.49040407955
ECMTC,1600,10,737.478105330982,0.25,736.751150955409,1399.09210289026
ECMTC,1600,10,884.973726397179,0.5,884.388327303197,1197.98797169499
ECMTC,1600,10,1032.46934746338,0.75,1032.3605389822,1086.65928695774
ECMTC,1600,10,1179.96496852957,1,1179.02326206226,1004.12940844097
ECMTC,1600,10,1327.46058959577,1.25,1327.37674577699,931.989058887643
ECMTC,1600,10,1474.95621066196,1.5,1473.65819682133,875.360066024953
ECMTC,1600,10,1622.45183172816,1.75,1621.63040850033,829.854558506805
ECMTC,1600,10,1769.94745279436,2,1769.60262017933,784.349050988657
MEC,1700,10,inf,0,626.329844097461,1999.60695870606
ECMTC,1700,10,782.912305121827,0.25,782.24821658672,1486.22103511375
ECMTC,1700,10,939.494766146192,0.5,939.386848458222,1272.22778004188
ECMTC,1700,10,1096.07722717056,0.75,1095.90859187302,1154.87420226445
ECMTC,1700,10,1252.65968819492,1,1252.3546236023,1066.2441512487
ECMTC,1700,10,1409.24214921929,1.25,1408.18376687487,990.285746265909
ECMTC,1700,10,1565.82461024365,1.5,1565.32239874638,929.344809381345
ECMTC,1700,10,1722.40707126802,1.75,1721.15154201895,881.423080225066
ECMTC,1700,10,1878.98953229238,2,1878.29017389045,833.098647462431
MEC,1800,10,inf,0,662.701527163493,2115.94874462765
ECMTC,1800,10,828.376908954366,0.25,828.080317549241,1572.89120917291
ECMTC,1800,10,994.052290745239,0.5,993.544887834356,1347.0290862884
ECMTC,1800,10,1159.72767253611,0.75,1159.38093307833,1222.23069078359
ECMTC,1800,10,1325.40305432699,1,1324.8088084082,1128.76159766278
ECMTC,1800,10,1491.07843611786,1.25,1490.68154860741,1047.86821141753
ECMTC,1800,10,1656.75381790873,1.5,1655.67711207249,983.732256344094
ECMTC,1800,10,1822.42919969961,1.75,1821.9821641365,932.588898336971
ECMTC,1800,10,1988.10458149048,2,1986.97772760157,881.848243936205
MEC,1900,10,inf,0,699.944888713264,2230.39962456495
ECMTC,1900,10,874.931110891579,0.25,874.093005158867,1659.10657330931
ECMTC,1900,10,1049.9173330699,0.5,1049.38389076827,1420.40743286461
ECMTC,1900,10,1224.90355524821,0.75,1224.85536302479,1288.29613883245
ECMTC,1900,10,1399.88977742653,1,1399.27899210309,1190.16211824385
ECMTC,1900,10,1574.87599960484,1.25,1574.48881893888,1104.73645434249
ECMTC,1900,10,1749.86222178316,1.5,1748.65080259646,1037.31429609413
ECMTC,1900,10,1924.84844396147,1.75,1924.12227485297,983.352012842522
ECMTC,1900,10,2099.83466613979,2,2099.59374710948,929.389729590913
MEC,2000,10,inf,0,736.018994617532,2349.96128151804
ECMTC,2000,10,920.023743271915,0.25,919.744519474285,1745.77674736847
ECMTC,2000,10,1104.0284919263,0.5,1103.9661946923,1495.04994481785
ECMTC,2000,10,1288.03324058068,0.75,1287.71081577339,1356.65525870006
ECMTC,2000,10,1472.03798923506,1,1471.1812384292,1252.83532396808
ECMTC,2000,10,1656.04273788945,1.25,1655.67711207249,1163.03314172076
ECMTC,2000,10,1840.04748654383,1.5,1839.00551592258,1091.70174305688
ECMTC,2000,10,2024.05223519821,1.75,2023.64340837159,1034.92053456078
ECMTC,2000,10,2208.0569838526,2,2206.97181222168,978.542029671042
MEC,2100,10,inf,0,772.702274118461,2466.00310356858
ECMTC,2100,10,965.877842648077,0.25,965.576620436806,1832.44692142764
ECMTC,2100,10,1159.05341117769,0.5,1158.0714444794,1569.44854745802
ECMTC,2100,10,1352.22897970731,0.75,1351.87575712092,1423.8675426583
ECMTC,2100,10,1545.40454823692,1,1544.37058116351,1314.9500667758
ECMTC,2100,10,1738.58011676654,1.25,1738.2467247833,1220.45984756223
ECMTC,2100,10,1931.75568529615,1.5,1930.66971784762,1145.68648641327
ECMTC,2100,10,2124.93125382577,1.75,2124.47403048914,1086.08635267269
ECMTC,2100,10,2318.10682235538,2,2316.96885453173,1026.88892253846
MEC,2200,10,inf,0,809.083115468514,2582.87513576762
ECMTC,2200,10,1011.35389433564,0.25,1010.37740590903,1920.89212534458
ECMTC,2200,10,1213.62467320277,0.5,1213.06996563442,1643.68835580491
ECMTC,2200,10,1415.8954520699,0.75,1414.73120986952,1491.78249409394
ECMTC,2200,10,1618.16623093703,1,1617.70194270354,1376.90905027338
ECMTC,2200,10,1820.43700980416,1.25,1820.42072058457,1278.60077563035
ECMTC,2200,10,2022.70778867128,1.5,2022.33391977266,1199.67122976966
ECMTC,2200,10,2224.97856753841,1.75,2223.99516400776,1137.65487439095
ECMTC,2200,10,2427.24934640554,2,2426.96589684178,1075.23581540588
MEC,2300,10,inf,0,846.08210873269,2700.13417686501
ECMTC,2300,10,1057.60263591586,0.25,1057.48798422937,2005.63242349425
ECMTC,2300,10,1269.12316309904,0.5,1268.31418629483,1717.46940598748
ECMTC,2300,10,1480.64369028221,0.75,1480.20563981598,1558.29211057476
ECMTC,2300,10,1692.16421746538,1,1692.02385214509,1438.86803377095
ECMTC,2300,10,1903.68474464855,1.25,1903.17045727011,1335.62477786546
ECMTC,2300,10,2115.20527183173,1.5,2113.9981216977,1253.65597312606
ECMTC,2300,10,2326.7257990149,1.75,2326.13527472423,1188.4179888965
ECMTC,2300,10,2538.24632619807,2,2536.96293915183,1123.5827082733
