
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow random functions with RNG seeds starting at 100.
#  - Accuracy costs were later normalized.
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Num_Selected_Resources,Makespan,Energy_Consumption,Training_Accuracy
OLAR,1600,10,10,4701.219189525404,28295.902687560498,0.29945569449140946
ELASTIC,1600,10,10,4930.174237491507,27357.11389779662,0.5037572232907909
FedAECS,1600,10,1,2735.6598681883697,2735.6598681883697,0.43640336379180794
MC²MKP,1600,10,10,39.913055530205746,139.0011134051111,0.004916938245629133
MEC,1600,10,10,27.190575855234876,195.50797089049723,0.004916938244125717
ECMTC,1600,10,10,39.913055530205746,139.0011134051111,0.004916938245629133
OLAR,1700,10,10,4701.219189525404,27559.995673739693,0.29939842124525295
ELASTIC,1700,10,10,3998.306831016131,22305.256884378894,0.5843730101710607
FedAECS,1700,10,1,659.3027373855565,659.3027373855565,0.12386294116417434
MC²MKP,1700,10,10,30.330770084205373,128.23748348915586,0.002265544551350843
MEC,1700,10,10,24.584377907443944,152.46538289541922,0.004916938245629133
ECMTC,1700,10,10,30.330770084205373,128.23748348915586,0.002265544551350843
OLAR,1800,10,10,4701.219189525404,25649.76281664008,0.2993220018910236
ELASTIC,1800,10,10,4579.8027231313035,31816.243773757866,0.786778568903198
FedAECS,1800,10,1,1374.6499884229102,1374.6499884229102,0.24289156994761907
MC²MKP,1800,10,10,24.584377907443944,135.1615800324246,0.004916938244108627
MEC,1800,10,10,24.584377907443944,135.1615800324246,0.004916938244108627
ECMTC,1800,10,10,24.584377907443944,135.1615800324246,0.004916938244108627
OLAR,1900,10,10,4701.219189525404,24971.5141225037,0.29934799329200806
ELASTIC,1900,10,10,4913.821072815943,21964.79252385472,0.36088391003797127
FedAECS,1900,10,1,235.9674859349503,235.9674859349503,0.04611378786981207
MC²MKP,1900,10,10,23.594280954862825,113.46994441590485,0.002265544551350843
MEC,1900,10,10,23.594280954862825,113.46994441590485,0.002265544551350843
ECMTC,1900,10,10,23.594280954862825,113.46994441590485,0.002265544551350843
ELASTIC,2000,10,10,4540.165211740706,24963.970219510975,0.5143172323899217
OLAR,2000,10,10,4705.062053234507,27523.784389749613,0.2993479932960951
FedAECS,2000,10,1,1630.1634923011982,1630.1634923011982,0.28219188913179266
MC²MKP,2000,10,10,22.60006878135212,91.249862233313,0.0023904570575384236
MEC,2000,10,10,22.60006878135212,91.24986223331298,0.0023904570575384236
ECMTC,2000,10,10,22.60006878135212,91.24986223331298,0.0023904570575384236
OLAR,2100,10,10,4701.219189525404,27057.447780691546,0.29934799329534834
ELASTIC,2100,10,10,4913.266180291789,31362.43301474852,0.19633434946307868
FedAECS,2100,10,1,1042.725416452932,1042.725416452932,0.18941746298736947
MC²MKP,2100,10,10,23.594280954862825,98.1940464902159,0.0023904569802712535
MEC,2100,10,10,22.60006878135212,116.67529474423566,0.002390457057570295
ECMTC,2100,10,10,23.594280954862825,98.1940464902159,0.0023904569802712535
OLAR,2200,10,10,4701.219189525404,22961.954399743343,0.29934799328879014
ELASTIC,2200,10,10,3647.895504191087,22456.465233692565,0.5335139808076871
FedAECS,2200,10,1,2502.4877800820113,2502.4877800820113,0.40579721592780044
MC²MKP,2200,10,10,24.584377907443944,105.55775160024649,0.004916938256236014
MEC,2200,10,10,22.60006878135212,114.39779892574663,0.0023904570575619313
ECMTC,2200,10,10,24.584377907443944,105.55775160024649,0.004916938256236014
OLAR,2300,10,10,4930.201031329854,29112.264591837316,0.29934800420704333
ELASTIC,2300,10,10,4572.936554615523,26400.237330036605,0.6759623080439661
FedAECS,2300,10,1,2847.981076141845,2847.981076141845,0.45081889769589145
MC²MKP,2300,10,10,18.016217503136755,87.11734137931802,0.0023904569802712535
MEC,2300,10,10,18.016217503136755,87.11734137931803,0.0023904569802712535
ECMTC,2300,10,10,18.016217503136755,87.11734137931803,0.0023904569802712535
OLAR,2400,10,10,4930.201031329854,30979.885508079,0.2993480191532955
ELASTIC,2400,10,10,4896.647623161155,21199.605815750117,0.42984567952998964
FedAECS,2400,10,1,3252.134555209676,3252.134555209676,0.501034530498062
MC²MKP,2400,10,10,24.584377907443944,93.44640955154915,0.004916938166817949
MEC,2400,10,10,22.60006878135212,106.82730689172026,0.0030563007265267937
ECMTC,2400,10,10,24.584377907443944,93.44640955154915,0.004916938166817949
ELASTIC,2500,10,10,4243.9225294583875,26963.443860791398,0.8489006701546712
OLAR,2500,10,10,4930.201031329854,26824.84893347897,0.2993479913482445
FedAECS,2500,10,1,2941.601236449714,2941.601236449714,0.46267751904971965
MC²MKP,2500,10,10,26.090977663793534,97.49207707071216,0.002390457085475956
MEC,2500,10,10,22.34684354469274,116.95982258664583,0.002265544474115544
ECMTC,2500,10,10,26.090977663793534,97.49207707071216,0.002390457085475956
OLAR,2600,10,10,4930.201031329854,26528.541759021966,0.2993479913482445
ELASTIC,2600,10,10,4319.253702194875,22491.15726380086,0.4102347894214849
FedAECS,2600,10,1,4902.590475522553,4902.590475522553,0.6833591556664864
MC²MKP,2600,10,10,24.584377907443944,94.62360447441196,0.004916938166818329
MEC,2600,10,10,21.123362241504683,106.11844274546478,0.0023904569802716364
ECMTC,2600,10,10,24.584377907443944,94.62360447441196,0.004916938166818329
OLAR,2700,10,10,4930.201031329854,26702.641313525608,0.2993479913482445
ELASTIC,2700,10,10,4829.129076222424,24491.652306039916,0.16715959527345944
FedAECS,2700,10,1,4882.401165428902,4882.401165428902,0.6813182823111706
MC²MKP,2700,10,10,22.60006878135212,84.98957178148858,0.0023904570575384236
MEC,2700,10,10,20.248148294659817,106.25536423312597,0.0040496910513713605
ECMTC,2700,10,10,22.60006878135212,84.98957178148858,0.0023904570575384236
OLAR,2800,10,10,4930.201031329854,32040.671690777126,0.8668309437326375
ELASTIC,2800,10,10,4960.953447576236,22472.34033741514,0.8029250121364417
FedAECS,2800,10,1,3721.501519950342,3721.501519950342,0.5563540902577953
MC²MKP,2800,10,10,22.79300234091064,80.22645487572643,0.0022655445528948544
MEC,2800,10,10,18.016217503136755,85.10958238348353,0.0022655444740903013
ECMTC,2800,10,10,22.79300234091064,80.22645487572645,0.0022655445528948544
ELASTIC,2900,10,10,4875.957407045196,25154.31257188632,0.9752550659320078
OLAR,2900,10,10,4930.201031329854,29195.845341169203,0.29786489118849646
FedAECS,2900,10,1,700.7966963206769,700.7966963206769,0.1311681930156368
MC²MKP,2900,10,10,22.79300234091064,77.66812246917887,0.002390457059082435
MEC,2900,10,10,18.016217503136755,80.49393916096103,0.0023904569802712535
ECMTC,2900,10,10,22.79300234091064,77.66812246917887,0.002390457059082435
OLAR,3000,10,10,4930.201031329854,27019.377358705227,0.07347647751828487
ELASTIC,3000,10,10,4734.735714846941,23575.832555029814,0.03994140028159191
FedAECS,3000,10,1,1704.4946687633767,1704.4946687633767,0.2933405848306524
MC²MKP,3000,10,10,24.118394012859202,80.56762517322235,0.002390457069689322
MEC,3000,10,10,18.016217503136755,92.485758505515,0.0022655444353023788
ECMTC,3000,10,10,24.118394012859202,80.56762517322235,0.002390457069689322
OLAR,3100,10,10,4930.201031329854,28923.04134341172,0.07347647751828487
ELASTIC,3100,10,10,4058.7181595646334,24998.704068195668,0.7883203123629907
FedAECS,3100,10,1,4490.679398846988,4490.679398846988,0.6408729395027513
MC²MKP,3100,10,10,21.796675586390755,73.88204253623186,0.002265544474083673
MEC,3100,10,10,18.016217503136755,98.43558506504813,0.0023904569802955244
ECMTC,3100,10,10,21.796675586390755,73.88204253623188,0.002265544474083673
ELASTIC,3200,10,10,4545.402693659527,25748.78383279166,0.6565518268871895
OLAR,3200,10,10,4930.201031329854,24551.338688688586,0.07347647751828487
FedAECS,3200,10,1,2049.564045561014,2049.564045561014,0.34352826488219307
MC²MKP,3200,10,10,26.090977663793534,74.00327511074167,0.0023904570854755697
MEC,3200,10,10,18.016217503136755,80.48298305239231,0.002265544474083673
ECMTC,3200,10,10,26.090977663793534,74.00327511074167,0.0023904570854755697
OLAR,3300,10,10,4930.201031329854,27109.96922099596,0.07347647751828487
ELASTIC,3300,10,10,3871.9699470900077,21821.249716983217,0.4615146400495727
FedAECS,3300,10,1,104.97520054983278,104.97520054983278,0.020777709581290764
MC²MKP,3300,10,10,21.796675586390755,71.62725501902777,0.0023904569802712513
MEC,3300,10,10,18.016217503136755,73.61684525044264,0.002390456980271634
ECMTC,3300,10,10,21.796675586390755,71.62725501902777,0.0023904569802712513
OLAR,3400,10,10,4930.201031329854,25144.212597402468,0.07347647751828487
ELASTIC,3400,10,10,4682.459685987496,28456.71447522236,0.6017448678588009
FedAECS,3400,10,1,3826.824629954626,3826.824629954626,0.5683580222984149
MC²MKP,3400,10,10,22.60006878135212,65.61883627577424,0.0004994848221845614
MEC,3400,10,10,16.779179834894855,90.69170659464164,0.002390456980294758
ECMTC,3400,10,10,22.60006878135212,65.61883627577424,0.0004994848221845614
OLAR,3500,10,10,4930.201031329854,24262.011000629907,0.07347647751828487
ELASTIC,3500,10,10,4577.129604795614,18644.620706627804,0.9155500289242768
FedAECS,3500,10,1,268.3000447035544,268.3000447035544,0.05226989597046822
MC²MKP,3500,10,10,20.41772196553715,63.94975817622328,0.0004994847449173915
MEC,3500,10,10,16.12519335521978,113.59052217260911,0.0023904569802947616
ECMTC,3500,10,10,20.41772196553715,63.949758176223284,0.0004994847449173915
ELASTIC,3600,10,10,4226.9859065410365,22070.44039956668,0.2617307090173898
OLAR,3600,10,10,4930.201031329854,24325.583398177158,0.07347647751828487
FedAECS,3600,10,1,4007.9484725045095,4007.9484725045095,0.5886700507701148
MC²MKP,3600,10,10,18.016217503136755,68.91992614726783,0.002265544435279252
MEC,3600,10,10,16.09026848004902,76.0456496030143,0.0023904569802712505
ECMTC,3600,10,10,18.016217503136755,68.91992614726782,0.002265544435279252
ELASTIC,3700,10,10,4935.557762790787,29772.314536995207,0.5126329989340377
OLAR,3700,10,10,4930.201031329854,25564.60071055981,0.07347647751828487
FedAECS,3700,10,1,3387.6624599760994,3387.6624599760994,0.5173245145260407
MC²MKP,3700,10,10,22.79300234091064,66.0509290437461,0.0004994848237289589
MEC,3700,10,10,16.779179834894855,75.10484036771904,0.0030563006104548218
ECMTC,3700,10,10,22.79300234091064,66.0509290437461,0.0004994848237289589
OLAR,3800,10,10,4930.201031329854,25767.671887927114,0.07347647751828487
ELASTIC,3800,10,10,4696.277920760696,28307.319551762284,0.24378199094776357
FedAECS,3800,10,1,3584.463399376116,3584.463399376116,0.5405166498722234
MC²MKP,3800,10,10,22.79300234091064,68.53380310565038,0.002390457059082435
MEC,3800,10,10,15.56323101095436,69.22815848299234,0.0023904569802712535
ECMTC,3800,10,10,22.79300234091064,68.53380310565038,0.002390457059082435
OLAR,3900,10,10,4930.201031329854,24470.86136958647,0.07347647751828487
ELASTIC,3900,10,10,4942.820424826064,30203.001081707418,0.9887553418455549
FedAECS,3900,10,1,2344.3782673589535,2344.3782673589535,0.3844976856264237
MC²MKP,3900,10,10,16.779179834894855,70.3241236887836,0.0030563006492600035
MEC,3900,10,10,16.09026848004902,88.24863844768493,0.002390456998951682
ECMTC,3900,10,10,16.779179834894855,70.3241236887836,0.0030563006492600035
OLAR,4000,10,10,4930.201031329854,21945.359544254832,0.07347647751828487
ELASTIC,4000,10,10,4906.387325872986,23859.18929138372,0.06353822723843622
FedAECS,4000,10,1,2478.943665627145,2478.943665627145,0.40265410433126303
MC²MKP,4000,10,10,18.016217503136755,54.660920095763174,0.002265544435278868
MEC,4000,10,10,16.779179834894855,65.98519759569044,0.0022655444740836707
ECMTC,4000,10,10,18.016217503136755,54.660920095763174,0.002265544435278868
ELASTIC,4100,10,10,4735.879420957847,37091.88158528911,0.6267006076916909
OLAR,4100,10,10,4930.201031329854,25266.074214791064,0.07347647751828487
FedAECS,4100,10,1,3365.7839258157305,3365.7839258157305,0.5147126860034864
MC²MKP,4100,10,10,18.016217503136755,55.6043820309482,0.0030563006104548187
MEC,4100,10,10,15.357367771280938,70.67972473981443,0.0023904569802712505
ECMTC,4100,10,10,18.016217503136755,55.6043820309482,0.0030563006104548187
ELASTIC,4200,10,10,4786.4316025639755,27557.049160444414,0.08566430734964374
OLAR,4200,10,10,4930.201031329854,26970.101535956375,0.07347647751828487
FedAECS,4200,10,1,1929.2379186121912,1929.2379186121912,0.32631230923834376
MC²MKP,4200,10,10,12.945087678611355,56.68380304581166,0.0023904569802712535
MEC,4200,10,10,12.945087678611355,56.68380304581166,0.0023904569802712535
ECMTC,4200,10,10,12.945087678611355,56.68380304581166,0.0023904569802712535
OLAR,4300,10,10,4930.201031329854,24801.42176191637,0.07347647751828487
ELASTIC,4300,10,10,4521.894521826704,26864.63187178155,0.7473334142787497
FedAECS,4300,10,1,4509.464158565561,4509.464158565561,0.6428502697667581
MC²MKP,4300,10,10,21.796675586390755,54.1724098983326,0.0004994847061125895
