
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow nlogn functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run MEC followed by ECMTC.
#  - We use no lower or upper task assignment limits for resources.
#  - We use relaxation percentages of 0.25 (25%); 0.50 (50%); 0.75 (75%); 1.0 (100%);
#    1.25 (125%); 1.50 (150%); 1.75 (175%); and 2.0 (200%) for the minimal makespan found
#    to evaluate the potential energy consumption reductions.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Time_Limit,Makespan_Relaxation_Percentage,Makespan,Energy_Consumption
ECMTC,3800,10,12689.8489305534,0.5,12688.1960982563,19925.3792785153
ECMTC,3800,10,14804.8237523122,0.75,14800.1579727164,18688.4640998429
ECMTC,3800,10,16919.7985740711,1,16917.2158173654,17777.7912666687
ECMTC,3800,10,19034.77339583,1.25,19034.5228852021,17017.7357547718
ECMTC,3800,10,21149.7482175889,1.5,21142.4660414978,16397.7192498415
ECMTC,3800,10,23264.7230393478,1.75,23260.7069232853,15856.8029252546
ECMTC,3800,10,25379.6978611067,2,25375.6204276121,15348.232611115
MEC,3900,10,inf,0,8719.35212911534,27848.1309661531
ECMTC,3900,10,10899.1901613942,0.25,10897.2801407931,22902.0381450281
ECMTC,3900,10,13079.028193673,0.5,13075.1146099022,20529.0801754245
ECMTC,3900,10,15258.8662259518,0.75,15253.8647556283,19250.0287273755
ECMTC,3900,10,17438.7042582307,1,17438.5396320633,18312.5759842353
ECMTC,3900,10,19618.5422905095,1.25,19618.3917742818,17528.8610099825
ECMTC,3900,10,21798.3803227883,1.5,21789.4053603202,16889.1513878704
ECMTC,3900,10,23978.2183550672,1.75,23971.2567828059,16331.5808825932
ECMTC,3900,10,26158.056387346,2,26150.2395928609,15807.0860955941
MEC,4000,10,inf,0,8976.14653138693,28694.4551100865
ECMTC,4000,10,11220.1831642337,0.25,11219.8449122674,23586.8660546883
ECMTC,4000,10,13464.2197970804,0.5,13464.0327079951,21134.8566192534
ECMTC,4000,10,15708.2564299271,0.75,15703.7073804928,19819.4677652723
ECMTC,4000,10,17952.2930627739,1,17950.3464025935,18852.0679953292
ECMTC,4000,10,20196.3296956206,1.25,20192.7752434175,18045.1322370831
ECMTC,4000,10,22440.3663284673,1.5,22438.3091383972,17382.175445108
ECMTC,4000,10,24684.402961314,1.75,24683.9425158622,16807.87494323
ECMTC,4000,10,26928.4395941608,2,26927.1678594746,16267.3980188401
MEC,4100,10,inf,0,9239.49925173943,29519.5283930628
ECMTC,4100,10,11549.3740646743,0.25,11549.1485619653,24261.4373843487
ECMTC,4100,10,13859.2488776091,0.5,13858.6089036815,21737.1943485433
ECMTC,4100,10,16169.123690544,0.75,16165.9288159783,20384.3390108257
ECMTC,4100,10,18478.9985034789,1,18478.8213522252,19389.4780420931
ECMTC,4100,10,20788.8733164137,1.25,20780.1527929589,18559.0942238502
ECMTC,4100,10,23098.7481293486,1.5,23089.1269938104,17876.7498730144
ECMTC,4100,10,25408.6229422834,1.75,25398.7093669747,17285.6516293562
ECMTC,4100,10,27718.4977552183,2,27717.992282194,16726.4229205296
MEC,4200,10,inf,0,9506.9126130894,30344.7681258831
