
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow nlogn functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Num_Selected_Resources,Makespan,Energy_Consumption,Training_Accuracy
FedAECS,2200,10,1,91782.45333884803,29370.38506843137,0.3346240204164576
MC²MKP,2200,10,10,21391.925811440015,7041.107310883916,0.00013411616309309257
MEC,2200,10,10,4461.879535601449,14236.583858433527,0.01926300062676203
ECMTC,2200,10,10,21391.925811440015,7041.107310883916,0.00013411616309309257
OLAR,2300,10,10,4702.852966808509,15000.616575775133,0.020266192281949952
ELASTIC,2300,10,10,12003.86572201752,20226.5732423767,0.02942090693344839
FedAECS,2300,10,1,96510.16923344918,30883.25415470374,0.3491668432425646
MC²MKP,2300,10,10,22518.1320286801,7405.123909296593,0.00013455335268341533
MEC,2300,10,10,4702.852966808509,15000.616575775135,0.020266192281949952
ECMTC,2300,10,10,22518.1320286801,7405.123909296593,0.00013455335268341533
ELASTIC,2400,10,10,12623.253505734769,21269.67722244838,0.030937680174822277
OLAR,2400,10,10,4943.34783352939,15771.14086674496,0.02127623107267243
FedAECS,2400,10,1,101261.48037778707,32403.673720891868,0.3635722280170302
MC²MKP,2400,10,10,23627.172135614415,7770.984127113007,0.0001349838784455536
MEC,2400,10,10,4943.34783352939,15771.14086674496,0.02127623107267243
ECMTC,2400,10,10,23627.172135614415,7770.984127113007,0.0001349838784455536
OLAR,2500,10,10,5185.690825856978,16547.37833929131,0.02243858570902552
ELASTIC,2500,10,10,13246.63769409091,22319.51150249431,0.032464239917927906
FedAECS,2500,10,1,106035.40264428787,33931.328846172124,0.3778401418606902
MC²MKP,2500,10,10,24764.538770300493,8138.624205487911,0.00013542540047362743
MEC,2500,10,10,5185.690825856978,16547.37833929131,0.02243858570902552
ECMTC,2500,10,10,24764.538770300493,8138.624205487911,0.00013542540047362743
OLAR,2600,10,10,5429.3628003942185,17333.36854156541,0.02346240855274128
ELASTIC,2600,10,10,13873.858348949281,23375.80673250259,0.03400019450201197
FedAECS,2600,10,1,110831.03073290674,35465.929834530165,0.39197085297242446
