
# Description of the Experiment:
#  - We generate the costs to up to 2000 tasks for 100 resources.
#  - All resources costs follow linear functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 200 to 2000 tasks in increments of 200.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Each sample is composed of 5 executions of the schedulers.
#  - We get 20 samples for each pair (scheduler; tasks)
#  - The order of execution of the different schedulers is randomly defined.
#    We set shuffle seed at 1000 and increase it every time we need a new order.
#  - Every result is logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Execution_Time
ECMTC,400,100,32.04895341899828
MEC,400,100,17.369276030993205
MC²MKP,400,100,10.424749448997318
FedAECS,400,100,0.48476450399903115
OLAR,400,100,0.013301455997861922
ELASTIC,400,100,0.028497651001089253
OLAR,400,100,0.014060792003874667
ECMTC,400,100,31.806887229991844
MEC,400,100,17.347626508999383
ELASTIC,400,100,0.02657020000333432
MC²MKP,400,100,10.420727422999335
FedAECS,400,100,0.4732086219883058
OLAR,400,100,0.01259354800276924
MEC,400,100,17.375868128001457
MC²MKP,400,100,10.359166502996231
ECMTC,400,100,31.924090707005234
FedAECS,400,100,0.47525699199468363
ELASTIC,400,100,0.026885570987360552
ELASTIC,400,100,0.026865653999266215
MEC,400,100,17.31216670401045
ECMTC,400,100,31.540619191990118
OLAR,400,100,0.012908056989545003
FedAECS,400,100,0.47197315900120884
MC²MKP,400,100,10.407210150005994
MC²MKP,400,100,10.412494319985854
MEC,400,100,17.30406477500219
ECMTC,400,100,31.739382314990507
FedAECS,400,100,0.4722917379986029
OLAR,400,100,0.012769542998285033
ELASTIC,400,100,0.02935901599994395
ELASTIC,400,100,0.028216612001415342
MEC,400,100,17.438191021996317
FedAECS,400,100,0.4882398970075883
OLAR,400,100,0.01296273700427264
ECMTC,400,100,31.67729311498988
MC²MKP,400,100,10.423746714994195
FedAECS,400,100,0.48470833600731567
MEC,400,100,17.60170734899293
MC²MKP,400,100,10.4491110839881
ELASTIC,400,100,0.02711068300413899
